tickerID,longName,sector,industry,fullTimeEmployees,city,country,companyOfficers,maxAge,isEsgPopulated,fundFamily,forwardPE,targetLowPrice,targetHighPrice,targetMedianPrice,targetMeanPrice,numberOfAnalystOpinions,recommendationMean,recommendationKey,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,trailingEps,financialCurrency,sharesOutstanding,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,lastDividendDate,exDividendDate,fundInceptionDate,heldPercentInsiders,ebitdaMargins,profitMargins,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,threeYearAverageReturn,dividendYield,dividendRate,payoutRatio,lastCapGain,currentRatio,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,annualReportExpenseRatio,bookValue,sharesShort,priceToBook,yield,shortRatio,beta,pegRatio,enterpriseValue,marketCap,operatingCashflow,ebitda,grossProfits,freeCashflow,totalCash,totalDebt,totalRevenue,algorithm,averageVolume
1051.HK,G-Resources Group Limited,Financial Services,Asset Management,67,Wan Chai,Hong Kong,[],1,False,,,,,,,,,none,,,,0.037219,USD,450814016,1609372800,1672444800,1625011200,,1465862400,,0.2838,0,1.1419799,1,0.87703,1.466,1.099,,,,0,,20.834,0.012,0.06657,1.652,0.204,20.157,4.909,,,,3.617,,0.71606296,,,1.283396,,452338304,1167608320,-185083008,,60548000,,744723968,196000,92145000,,61897
1053.HK,Chongqing Iron & Steel Company Limited,Basic Materials,Steel,6601,Chongqing,China,[],1,False,,,,,,,,,none,,,,0.22772,CNY,538126976,1609372800,1672444800,1632960000,,1245196800,,0.04862,0.119720004,0.08213,0.12325,0.099350005,0.299,-0.287,,,,0,,0.925,38.8,0.14722,0.558,4.285,0.506,0.398,3.328,,,2.578,,0.47711402,,,1.130603,,15270332416,21640374272,2843332096,4588762624,1810805000,3330051328,4976762880,8920470528,38328258560,,4963305
1047.HK,Ngai Hing Hong Company Limited,Basic Materials,Specialty Chemicals,626,Sha Tin,Hong Kong,[],1,False,,,,,,,,,none,,,,0.0211,HKD,369200000,1625011200,1688083200,1625011200,,1637625600,,0.66143,0.0767,0.04559,0.17616,0.06755,0.516,,,0.0308,0.02,0.041100003,,1.675,52.972,0.17362,0.56,5.339,1.091,0.2,2.604,,,1.594,,0.40150565,,,0.341449,,393633984,236288000,162110000,151183008,347217000,82513752,206579008,328505984,1971074048,,60584
0105.HK,Associated International Hotels Limited,Real Estate,Real Estate Services,37,Tsim Sha Tsui,Hong Kong,[],1,False,,,,,,,,,none,,,,-2.54,HKD,360000000,1617148800,1680220800,1632960000,,1639353600,,0.61699003,0.67683,0,0.76663,0.66479,-0.341,,,0.030199999,0.38,,,2.712,1.996,-0.12798999,1.39,0.976,2.631,12.05,17.803,,,27.827,,0.44920403,,,0.166021,,4235696896,4499999744,166783008,237914000,341817000,89846872,500303008,200000000,351512992,,1169
1049.HK,Celestial Asia Securities Holdings Limited,Consumer Cyclical,Department Stores,781,Kowloon Bay,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.2435,HKD,80720000,1609372800,1672444800,1625011200,,1620950400,,0.54937,0.03154,0.02418,0.42984,0.01822,0.038,,,0.125,0.25,0.397,,0.613,214.189,0.17421,1.303,17.405,0.364,0.362,11.487,,,3.3,,0.51818186,,,0.350857,,508694016,138031200,264226000,44283000,602231000,17989750,105168000,490015008,1403825024,,1539
1057.HK,Zhejiang Shibao Company Limited,Consumer Cyclical,Auto Parts,1680,Hangzhou,China,[],1,False,,,,,,,,,none,,,,-0.250096,CNY,216784992,1609372800,1672444800,1632960000,,1499126400,,0,0.094510004,0.03822,0.22462,0.01862,-0.069,-0.633,,,,0,,1.828,8.181,0.02918,0.277,1.476,1.196,1.404,14.852,,,1.754,,1.0775371,,,0.828444,,1636771584,4156582400,90122328,110203024,247622031,17071618,218990512,111911216,1166006912,,10026703
1059.HK,Kantone Holdings Limited,Technology,Information Technology Services,165,Hong Kong,Hong Kong,[],1,False,,,,,,,,,none,,,,0.01,HKD,217039008,1625011200,1688083200,1625011200,,1394755200,,0.62951,0.093739994,0.04091,0.59895,0.04166,0.037,,,,,0,,1.949,11.422,0.0709,0.548,0.641,1.596,-0.009,-0.099,,,0.496,,0.8770161,,,0.299391,,-1287324,94411968,13661000,13037000,83296000,13310625,118848000,12297000,139068992,,411801
1050.HK,Karrie International Holdings Limited,Industrials,Metal Fabrication,3690,Tsuen Wan,Hong Kong,[],1,False,,,,,,,,,none,,,,0.126,HKD,2017309952,1617148800,1680220800,1632960000,,1639094400,,0.74317,0.22853,0.12851,0.25445998,0.20376,0.297,0.645,,0.0588,0.09,0.47619998,,1.664,71.148,0.32863998,0.089,1.807,0.446,1.109,4.852,,,0.779,,1.9383826,,,0.820143,,4025509120,3046138112,311014016,829622016,714057000,63344752,178559008,1117585024,3630223872,,292137
1058.HK,Guangdong Tannery Limited,Consumer Cyclical,Footwear & Accessories,385,Central,Hong Kong,[],1,False,,,,,,,,,none,,,,-0.0725,HKD,538019008,1609372800,1672444800,1625011200,,898128000,,0.71347,0.03716,0.01163,0.1142,0.01959,1.02,,,,,0,,2.911,542.75,0.17803,0.044,0.461,1.545,2.495,67.138,,,0.049,,18.979593,,,0.562257,,619149696,500357696,-2953000,9222000,13729000,-21256376,23756000,142548000,248151008,,1315035
1052.HK,Yuexiu Transport Infrastructure Limited,Industrials,Infrastructure Operations,1993,Wan Chai,Hong Kong,[],1,False,,7.0757575,6.36,8.32,7.35,7.34,3,1.7,buy,,0.66,,0.759788,CNY,1673159936,1609372800,1672444800,1625011200,,1636070400,,0.44244,0.77041,0.22012,0.59096,0.52366,1.018,,,0.056599997,0.27,0.104899995,,0.642,128.808,0.09706,1.142,2.488,0.642,6.471,8.399,,,6.452,,0.72380656,,,0.68954,,26936440832,7813657088,2928987904,3207025920,1577113000,1618641536,1910253056,17823498240,4162750976,,1291656
0106.HK,"Landsea Green Properties Co., Ltd.",Real Estate,Real Estate—Development,1940,Central,Hong Kong,[],1,False,,0.7142858,4,4,4,4,1,2,buy,,0.42,,0.28161,CNY,4722310144,1609372800,1672444800,1625011200,,1625702400,,0.79124,0.03338,-0.07112,0.2069,0.02954,0.24,,,0.087,0.03,0,,1.46,120.133,-0.103149995,0.817,2.093,0.583,0.718,21.516,,,0.896,,0.33482143,,,0.005534,,6948641280,1416693120,-1296647040,322948000,1708202000,389173248,3860116992,7317395968,9675921408,,1060529
