,tickerID
691,1872.HK
692,1873.HK
693,1875.HK
694,1876.HK
695,1877.HK
696,1878.HK
697,0188.HK
698,1882.HK
699,1883.HK
700,1884.HK
701,1888.HK
702,1889.HK
703,0189.HK
704,1890.HK
705,1891.HK
706,1896.HK
707,1897.HK
708,1898.HK
709,1899.HK
710,0019.HK
711,1900.HK
712,1901.HK
713,1902.HK
714,1903.HK
715,1905.HK
716,1906.HK
717,1907.HK
718,1908.HK
719,1909.HK
720,0191.HK
721,1910.HK
722,1911.HK
723,1912.HK
724,1913.HK
725,1915.HK
726,1916.HK
727,1917.HK
728,1918.HK
729,1919.HK
730,1920.HK
731,1921.HK
732,1922.HK
733,1925.HK
734,1927.HK
735,1928.HK
736,1929.HK
737,0193.HK
738,1930.HK
739,1931.HK
740,1932.HK
741,1933.HK
742,1935.HK
743,1936.HK
744,1937.HK
745,1938.HK
746,1939.HK
747,0194.HK
748,1941.HK
749,1942.HK
750,1943.HK
751,1945.HK
752,1948.HK
753,1949.HK
754,0195.HK
755,1950.HK
756,1951.HK
757,1952.HK
758,1953.HK
759,1955.HK
760,1957.HK
761,1958.HK
762,1959.HK
763,0196.HK
764,1960.HK
765,1961.HK
766,1962.HK
767,1963.HK
768,1965.HK
769,1966.HK
770,1967.HK
771,1968.HK
772,1969.HK
773,0197.HK
774,1970.HK
775,1971.HK
776,1972.HK
777,1975.HK
778,1977.HK
779,1978.HK
780,1979.HK
781,1980.HK
782,1981.HK
783,1982.HK
784,1983.HK
785,1985.HK
786,1986.HK
787,1987.HK
788,1988.HK
789,1989.HK
790,0199.HK
791,1991.HK
792,1992.HK
793,1993.HK
794,1995.HK
795,1996.HK
796,1997.HK
797,1999.HK
798,0002.HK
799,0020.HK
800,0200.HK
801,2000.HK
802,2001.HK
803,2002.HK
804,2003.HK
805,2005.HK
806,2006.HK
807,2007.HK
808,2008.HK
809,2009.HK
810,0201.HK
811,2011.HK
812,2012.HK
813,2013.HK
814,2015.HK
815,2016.HK
816,2017.HK
817,2018.HK
818,2019.HK
819,0202.HK
820,2020.HK
821,2022.HK
822,2023.HK
823,2025.HK
824,2028.HK
825,2030.HK
826,2031.HK
827,2033.HK
828,2038.HK
829,2039.HK
830,0204.HK
831,2048.HK
832,0205.HK
833,2051.HK
834,2057.HK
835,0206.HK
836,2060.HK
837,2066.HK
838,2068.HK
839,0207.HK
840,2078.HK
841,2080.HK
842,2086.HK
843,2088.HK
844,0209.HK
845,2096.HK
846,2098.HK
847,2099.HK
848,0021.HK
849,0210.HK
850,2100.HK
851,2101.HK
852,2102.HK
853,2107.HK
854,2108.HK
855,0211.HK
856,2110.HK
857,2111.HK
858,2112.HK
859,2113.HK
860,2115.HK
861,2116.HK
862,2117.HK
863,2118.HK
864,2119.HK
865,0212.HK
866,2120.HK
867,2122.HK
868,2125.HK
869,2126.HK
870,2127.HK
871,2128.HK
872,2129.HK
873,0213.HK
874,2130.HK
875,2131.HK
876,2132.HK
877,2135.HK
878,2136.HK
879,2137.HK
880,2138.HK
881,2139.HK
882,0214.HK
883,2142.HK
884,2146.HK
885,2148.HK
886,0215.HK
887,2150.HK
888,2153.HK
889,2155.HK
890,2156.HK
891,2158.HK
892,2159.HK
893,0216.HK
894,2160.HK
895,2161.HK
896,2162.HK
897,2163.HK
898,2166.HK
899,2168.HK
900,2169.HK
901,0217.HK
902,2170.HK
903,2171.HK
904,2175.HK
905,2176.HK
906,2177.HK
907,2178.HK
908,0218.HK
909,2180.HK
910,2181.HK
911,2182.HK
912,2183.HK
913,2186.HK
914,2187.HK
915,2188.HK
916,2189.HK
917,0219.HK
918,2190.HK
919,2192.HK
920,2193.HK
921,2195.HK
922,2196.HK
923,2197.HK
924,2198.HK
925,2199.HK
926,0022.HK
927,0220.HK
928,2202.HK
929,2203.HK
930,2205.HK
931,2207.HK
932,2208.HK
933,2209.HK
934,2210.HK
935,2211.HK
936,2212.HK
937,2215.HK
938,2216.HK
